[2025-03-20 12:37:47,960] [INFO] Node started: localhost:30113 | index=114 | f=1, k=4
[2025-03-20 12:38:03,868] [INFO] Phase: PRE-PREPARE | Receiver: 30113 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:38:03,880] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30113 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:38:13,892] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:13,908] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30113 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:13,956] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,240] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:14,506] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:14,546] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:14,587] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:14,623] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,662] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:15,289] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,326] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:15,342] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30113 | Distance:  113.77 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:15,401] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,435] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:15,471] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,587] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:15,666] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,694] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:15,726] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:15,759] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:15,785] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:16,676] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:38:17,127] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:17,412] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,485] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:17,520] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:17,554] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,600] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,704] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:17,758] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,798] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,827] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,862] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,912] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:17,969] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:18,025] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,056] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:18,091] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:18,137] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,201] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:18,251] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,320] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,363] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:18,399] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,449] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,516] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:18,571] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,615] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,924] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:19,162] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,359] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:19,663] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:20,049] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,870] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:21,069] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:21,126] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:21,473] [INFO] Phase: COMMIT | Receiver: 30113 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:27,193] [INFO] Phase: PRE-PREPARE | Receiver: 30113 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782176 bit
[2025-03-20 12:38:27,361] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30113 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:38:35,293] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,307] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30113 | Distance:  118.38 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:35,339] [INFO] Phase: PREPARE | Receiver: 30113 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
