[2025-03-20 12:37:36,723] [INFO] Node started: localhost:30057 | index= 58 | f=1, k=4
[2025-03-20 12:38:18,330] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:18,363] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:18,392] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:18,490] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,524] [INFO] Phase: PREPARE | Receiver: 30057 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:18,550] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:18,596] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,630] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,672] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,704] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,728] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,774] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,808] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,847] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,241] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:19,442] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,541] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:19,640] [INFO] Phase: COMMIT | Receiver: 30057 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778992 bit
