[2025-03-07 14:05:19,282] [INFO] Node started: localhost:30163 | index=164 | f=1, k=4
[2025-03-07 14:05:29,839] [INFO] [30163] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30149, 'cluster_id': 3, 'cluster_ports': [30002, 30005, 30008, 30010, 30017, 30021, 30024, 30031, 30034, 30035, 30040, 30048, 30054, 30055, 30056, 30058, 30076, 30081, 30084, 30090, 30091, 30101, 30103, 30107, 30120, 30123, 30124, 30135, 30136, 30137, 30144, 30149, 30152, 30156, 30158, 30163, 30164, 30166, 30173, 30174, 30175, 30178, 30183, 30186, 30188, 30191, 30193, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30136, 'latitude': 36.6273945, 'longitude': 127.4590786, 'altitude': 185, 'offset_m': 'lat: 88 m, lng: 51 m, alt: 185 m'}, 'simulated_delay': 0.000221, 'distance': 116.49847430401657, 'message_size_bits': 5304}
[2025-03-07 14:05:29,874] [INFO] [30163] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,055] [INFO] [30163] PREPARE received from 30135 for REQUEST 1741323929740
[2025-03-07 14:05:30,057] [INFO] [30163] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:31,092] [INFO] [30163] PREPARE received from 30173 for REQUEST 1741323929740
[2025-03-07 14:05:31,092] [INFO] [30163] COMMIT received from 30135 for REQUEST 1741323929740
[2025-03-07 14:05:31,308] [INFO] [30163] PREPARE received from 30137 for REQUEST 1741323929740
[2025-03-07 14:05:31,505] [INFO] [30163] PREPARE received from 30166 for REQUEST 1741323929740
[2025-03-07 14:05:31,505] [INFO] [30163] PREPARE received from 30031 for REQUEST 1741323929740
[2025-03-07 14:05:31,594] [INFO] [30163] COMMIT received from 30031 for REQUEST 1741323929740
[2025-03-07 14:05:31,594] [INFO] [30163] COMMIT complete. Sending PRE-REPLY: REQUEST 1741323929740 directly to Manager 30136
[2025-03-07 14:05:31,594] [INFO] [30163] COMMIT received from 30173 for REQUEST 1741323929740
[2025-03-07 14:05:31,596] [INFO] [30163] COMMIT received from 30137 for REQUEST 1741323929740
[2025-03-07 14:05:31,596] [INFO] [30163] COMMIT received from 30166 for REQUEST 1741323929740
[2025-03-07 14:05:31,628] [INFO] [30163] PREPARE received from 30156 for REQUEST 1741323929740
[2025-03-07 14:05:31,686] [INFO] [30163] COMMIT received from 30156 for REQUEST 1741323929740
[2025-03-07 14:05:31,890] [INFO] [30163] PREPARE received from 30058 for REQUEST 1741323929740
[2025-03-07 14:05:31,946] [INFO] [30163] COMMIT received from 30193 for REQUEST 1741323929740
[2025-03-07 14:05:31,948] [INFO] [30163] PREPARE received from 30193 for REQUEST 1741323929740
[2025-03-07 14:05:32,585] [INFO] [30163] PREPARE received from 30186 for REQUEST 1741323929740
[2025-03-07 14:05:32,721] [INFO] [30163] PREPARE received from 30008 for REQUEST 1741323929740
[2025-03-07 14:05:32,760] [INFO] [30163] COMMIT received from 30186 for REQUEST 1741323929740
[2025-03-07 14:05:32,881] [INFO] [30163] PREPARE received from 30040 for REQUEST 1741323929740
[2025-03-07 14:05:32,883] [INFO] [30163] PREPARE received from 30164 for REQUEST 1741323929740
[2025-03-07 14:05:32,883] [INFO] [30163] COMMIT received from 30040 for REQUEST 1741323929740
[2025-03-07 14:05:32,914] [INFO] [30163] COMMIT received from 30164 for REQUEST 1741323929740
[2025-03-07 14:05:33,073] [INFO] [30163] PREPARE received from 30195 for REQUEST 1741323929740
[2025-03-07 14:05:33,096] [INFO] [30163] PREPARE received from 30191 for REQUEST 1741323929740
[2025-03-07 14:05:33,101] [INFO] [30163] COMMIT received from 30191 for REQUEST 1741323929740
[2025-03-07 14:05:33,152] [INFO] [30163] COMMIT received from 30195 for REQUEST 1741323929740
[2025-03-07 14:05:33,395] [INFO] [30163] COMMIT received from 30008 for REQUEST 1741323929740
[2025-03-07 14:05:33,395] [INFO] [30163] PREPARE received from 30084 for REQUEST 1741323929740
[2025-03-07 14:05:33,400] [INFO] [30163] COMMIT received from 30084 for REQUEST 1741323929740
[2025-03-07 14:05:33,509] [INFO] [30163] PREPARE received from 30010 for REQUEST 1741323929740
[2025-03-07 14:05:33,577] [INFO] [30163] PREPARE received from 30002 for REQUEST 1741323929740
[2025-03-07 14:05:33,601] [INFO] [30163] PREPARE received from 30175 for REQUEST 1741323929740
[2025-03-07 14:05:33,601] [INFO] [30163] COMMIT received from 30175 for REQUEST 1741323929740
[2025-03-07 14:05:33,621] [INFO] [30163] COMMIT received from 30002 for REQUEST 1741323929740
[2025-03-07 14:05:33,706] [INFO] [30163] PREPARE received from 30034 for REQUEST 1741323929740
[2025-03-07 14:05:33,817] [INFO] [30163] COMMIT received from 30010 for REQUEST 1741323929740
[2025-03-07 14:05:33,979] [INFO] [30163] PREPARE received from 30188 for REQUEST 1741323929740
[2025-03-07 14:05:33,980] [INFO] [30163] PREPARE received from 30091 for REQUEST 1741323929740
[2025-03-07 14:05:33,981] [INFO] [30163] COMMIT received from 30188 for REQUEST 1741323929740
[2025-03-07 14:05:33,981] [INFO] [30163] COMMIT received from 30149 for REQUEST 1741323929740
[2025-03-07 14:05:34,043] [INFO] [30163] COMMIT received from 30091 for REQUEST 1741323929740
[2025-03-07 14:05:34,043] [INFO] [30163] COMMIT received from 30058 for REQUEST 1741323929740
[2025-03-07 14:05:34,105] [INFO] [30163] COMMIT received from 30034 for REQUEST 1741323929740
[2025-03-07 14:05:34,105] [INFO] [30163] PREPARE received from 30107 for REQUEST 1741323929740
[2025-03-07 14:05:34,105] [INFO] [30163] COMMIT received from 30107 for REQUEST 1741323929740
[2025-03-07 14:05:34,133] [INFO] [30163] PREPARE received from 30017 for REQUEST 1741323929740
[2025-03-07 14:05:34,174] [INFO] [30163] PREPARE received from 30123 for REQUEST 1741323929740
[2025-03-07 14:05:34,194] [INFO] [30163] COMMIT received from 30123 for REQUEST 1741323929740
[2025-03-07 14:05:34,352] [INFO] [30163] COMMIT received from 30017 for REQUEST 1741323929740
[2025-03-07 14:05:34,386] [INFO] [30163] PREPARE received from 30183 for REQUEST 1741323929740
[2025-03-07 14:05:34,386] [INFO] [30163] COMMIT received from 30183 for REQUEST 1741323929740
[2025-03-07 14:05:34,426] [INFO] [30163] PREPARE received from 30178 for REQUEST 1741323929740
[2025-03-07 14:05:34,426] [INFO] [30163] PREPARE received from 30120 for REQUEST 1741323929740
[2025-03-07 14:05:34,426] [INFO] [30163] COMMIT received from 30055 for REQUEST 1741323929740
[2025-03-07 14:05:34,431] [INFO] [30163] COMMIT received from 30178 for REQUEST 1741323929740
[2025-03-07 14:05:34,442] [INFO] [30163] PREPARE received from 30055 for REQUEST 1741323929740
[2025-03-07 14:05:34,661] [INFO] [30163] PREPARE received from 30081 for REQUEST 1741323929740
[2025-03-07 14:05:34,742] [INFO] [30163] COMMIT received from 30081 for REQUEST 1741323929740
[2025-03-07 14:05:34,766] [INFO] [30163] COMMIT received from 30120 for REQUEST 1741323929740
[2025-03-07 14:05:34,938] [INFO] [30163] PREPARE received from 30024 for REQUEST 1741323929740
[2025-03-07 14:05:34,938] [INFO] [30163] COMMIT received from 30024 for REQUEST 1741323929740
[2025-03-07 14:05:34,987] [INFO] [30163] PREPARE received from 30101 for REQUEST 1741323929740
[2025-03-07 14:05:34,992] [INFO] [30163] COMMIT received from 30101 for REQUEST 1741323929740
[2025-03-07 14:05:35,124] [INFO] [30163] PREPARE received from 30174 for REQUEST 1741323929740
[2025-03-07 14:05:35,127] [INFO] [30163] PREPARE received from 30021 for REQUEST 1741323929740
[2025-03-07 14:05:35,127] [INFO] [30163] COMMIT received from 30021 for REQUEST 1741323929740
[2025-03-07 14:05:35,230] [INFO] [30163] COMMIT received from 30174 for REQUEST 1741323929740
[2025-03-07 14:05:35,488] [INFO] [30163] PREPARE received from 30035 for REQUEST 1741323929740
[2025-03-07 14:05:35,488] [INFO] [30163] COMMIT received from 30035 for REQUEST 1741323929740
[2025-03-07 14:05:35,550] [INFO] [30163] PREPARE received from 30054 for REQUEST 1741323929740
[2025-03-07 14:05:35,590] [INFO] [30163] COMMIT received from 30054 for REQUEST 1741323929740
[2025-03-07 14:05:35,616] [INFO] [30163] PREPARE received from 30056 for REQUEST 1741323929740
[2025-03-07 14:05:35,645] [INFO] [30163] PREPARE received from 30158 for REQUEST 1741323929740
[2025-03-07 14:05:35,645] [INFO] [30163] COMMIT received from 30158 for REQUEST 1741323929740
[2025-03-07 14:05:35,708] [INFO] [30163] PREPARE received from 30005 for REQUEST 1741323929740
[2025-03-07 14:05:35,724] [INFO] [30163] COMMIT received from 30005 for REQUEST 1741323929740
[2025-03-07 14:05:35,788] [INFO] [30163] COMMIT received from 30056 for REQUEST 1741323929740
[2025-03-07 14:05:35,842] [INFO] [30163] PREPARE received from 30090 for REQUEST 1741323929740
[2025-03-07 14:05:35,842] [INFO] [30163] COMMIT received from 30090 for REQUEST 1741323929740
[2025-03-07 14:05:35,961] [INFO] [30163] PREPARE received from 30124 for REQUEST 1741323929740
[2025-03-07 14:05:35,978] [INFO] [30163] COMMIT received from 30124 for REQUEST 1741323929740
[2025-03-07 14:05:36,146] [INFO] [30163] PREPARE received from 30152 for REQUEST 1741323929740
[2025-03-07 14:05:36,165] [INFO] [30163] PREPARE received from 30103 for REQUEST 1741323929740
[2025-03-07 14:05:36,165] [INFO] [30163] COMMIT received from 30152 for REQUEST 1741323929740
[2025-03-07 14:05:36,165] [INFO] [30163] COMMIT received from 30076 for REQUEST 1741323929740
[2025-03-07 14:05:36,165] [INFO] [30163] COMMIT received from 30144 for REQUEST 1741323929740
[2025-03-07 14:05:36,165] [INFO] [30163] PREPARE received from 30076 for REQUEST 1741323929740
[2025-03-07 14:05:36,165] [INFO] [30163] PREPARE received from 30144 for REQUEST 1741323929740
[2025-03-07 14:05:36,165] [INFO] [30163] COMMIT received from 30103 for REQUEST 1741323929740
[2025-03-07 14:05:36,433] [INFO] [30163] PREPARE received from 30048 for REQUEST 1741323929740
[2025-03-07 14:05:36,433] [INFO] [30163] COMMIT received from 30048 for REQUEST 1741323929740
