[2025-03-20 12:37:33,311] [INFO] Node started: localhost:30040 | index= 41 | f=1, k=4
[2025-03-20 12:38:02,658] [INFO] Phase: PRE-PREPARE | Receiver: 30040 | Sender: 30084 | Distance:   80.21 m | Delay: 0.4662s | Size: 16782032 bit
[2025-03-20 12:38:02,763] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30040 | Distance:   80.21 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:10,576] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30016 | Distance:  117.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,594] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30040 | Distance:  117.64 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:11,348] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30071 | Distance:  124.99 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:11,666] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30030 | Distance:   87.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:12,030] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30106 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:12,395] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30068 | Distance:   59.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,785] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30063 | Distance:  121.66 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:14,526] [INFO] Phase: COMMIT | Receiver: 30040 | Sender: 30016 | Distance:  117.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:14,672] [INFO] Phase: COMMIT | Receiver: 30040 | Sender: 30071 | Distance:  124.99 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:14,827] [INFO] Phase: PRE-REPLY | Receiver: 30049 | Sender: 30040 | Distance:  124.99 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:15,530] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30012 | Distance:  139.48 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:15,562] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30025 | Distance:  117.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:15,597] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30112 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:15,651] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30083 | Distance:   35.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:15,684] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30005 | Distance:  144.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:15,724] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30089 | Distance:  120.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:15,757] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30048 | Distance:   14.42 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:15,793] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30101 | Distance:  135.93 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:15,848] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30031 | Distance:   86.26 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,882] [INFO] Phase: COMMIT | Receiver: 30040 | Sender: 30063 | Distance:  121.66 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:15,917] [INFO] Phase: PREPARE | Receiver: 30040 | Sender: 30014 | Distance:   78.72 m | Delay: 0.4661s | Size: 16778992 bit
