[2025-03-20 12:12:13,027] [INFO] Node started: localhost:30004 | index=  5 | f=1, k=4
[2025-03-20 12:12:27,141] [INFO] Phase: PRE-PREPARE | Receiver: 30004 | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16780744 bit
[2025-03-20 12:12:27,157] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30004 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:27,996] [INFO] Phase: PREPARE | Receiver: 30004 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,016] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30004 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:12:28,444] [INFO] Phase: COMMIT | Receiver: 30004 | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:28,837] [INFO] Phase: COMMIT | Receiver: 30004 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,850] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30004 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:35,162] [INFO] Phase: PRE-PREPARE | Receiver: 30004 | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16780744 bit
[2025-03-20 12:12:35,170] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30004 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778144 bit
[2025-03-20 12:12:35,974] [INFO] Phase: PREPARE | Receiver: 30004 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:35,992] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30004 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778160 bit
