[2025-03-20 12:12:12,814] [INFO] Node started: localhost:30003 | index=  4 | f=1, k=4
[2025-03-20 12:12:28,559] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30019 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,622] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30009 | Distance:  128.56 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:28,656] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30000 | Distance:  143.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,686] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30021 | Distance:  103.41 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:28,743] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30026 | Distance:  103.22 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,790] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30011 | Distance:   85.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,817] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30000 | Distance:  143.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:34,399] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30003 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781464 bit
[2025-03-20 12:12:34,402] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30003 | Distance:    0.00 m | Delay: N/A | Size: 16780280 bit
[2025-03-20 12:12:35,127] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30019 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:35,455] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30033 | Distance:  103.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:35,466] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30003 | Distance:  103.22 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:35,810] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30009 | Distance:  128.56 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,852] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30021 | Distance:  103.41 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,884] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30026 | Distance:  103.22 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,909] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30018 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:35,941] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30015 | Distance:   27.63 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:12:36,259] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30009 | Distance:  128.56 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,293] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30011 | Distance:   85.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:36,326] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30019 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:36,340] [INFO] Phase: PRE-REPLY | Receiver: 30006 | Sender: 30003 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:12:36,406] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30015 | Distance:   27.63 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:12:36,443] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30000 | Distance:  143.98 m | Delay: 0.6991s | Size: 16779000 bit
