[2025-03-20 12:37:46,959] [INFO] Node started: localhost:30108 | index=109 | f=1, k=4
[2025-03-20 12:38:02,192] [INFO] Phase: PRE-PREPARE | Receiver: 30108 | Sender: 30002 | Distance:   72.60 m | Delay: 0.4662s | Size: 16782304 bit
[2025-03-20 12:38:02,235] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30108 | Distance:   72.60 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:11,882] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30046 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,079] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30108 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:15,546] [INFO] Phase: COMMIT | Receiver: 30108 | Sender: 30002 | Distance:   72.60 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,789] [INFO] Phase: COMMIT | Receiver: 30108 | Sender: 30046 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:15,923] [INFO] Phase: PRE-REPLY | Receiver: 30056 | Sender: 30108 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:38:19,132] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30072 | Distance:   42.03 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:38:19,258] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30011 | Distance:  158.60 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:38:19,493] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30065 | Distance:   71.02 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,584] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30017 | Distance:   80.26 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,618] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30053 | Distance:   29.36 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:19,731] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30033 | Distance:  118.75 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,819] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30109 | Distance:   76.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,848] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30097 | Distance:  116.25 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,884] [INFO] Phase: PREPARE | Receiver: 30108 | Sender: 30105 | Distance:   74.63 m | Delay: 0.4661s | Size: 16778984 bit
