[2025-03-20 12:37:33,916] [INFO] Node started: localhost:30043 | index= 44 | f=1, k=4
[2025-03-20 12:37:53,593] [INFO] Phase: PRE-PREPARE | Receiver: 30043 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4662s | Size: 16782240 bit
[2025-03-20 12:37:53,604] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30043 | Distance:   61.46 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:37:54,010] [INFO] Phase: PREPARE | Receiver: 30043 | Sender: 30078 | Distance:   76.87 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:54,026] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30043 | Distance:   76.87 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:37:57,516] [INFO] Phase: PREPARE | Receiver: 30043 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,544] [INFO] Phase: PREPARE | Receiver: 30043 | Sender: 30008 | Distance:  151.31 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:37:57,574] [INFO] Phase: PREPARE | Receiver: 30043 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:57,720] [INFO] Phase: PREPARE | Receiver: 30043 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,758] [INFO] Phase: PREPARE | Receiver: 30043 | Sender: 30054 | Distance:   45.15 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:57,787] [INFO] Phase: COMMIT | Receiver: 30043 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:37:57,813] [INFO] Phase: COMMIT | Receiver: 30043 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,825] [INFO] Phase: PRE-REPLY | Receiver: 30022 | Sender: 30043 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:37:57,878] [INFO] Phase: COMMIT | Receiver: 30043 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,928] [INFO] Phase: PREPARE | Receiver: 30043 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778992 bit
