[2025-03-20 12:37:46,154] [INFO] Node started: localhost:30104 | index=105 | f=1, k=4
[2025-03-20 12:38:21,333] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:21,415] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:21,433] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:21,458] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:21,516] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:21,539] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:21,557] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:21,576] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:21,605] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:21,622] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:21,639] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
