[2025-03-20 12:37:48,173] [INFO] Node started: localhost:30114 | index=115 | f=1, k=4
[2025-03-20 12:37:53,603] [INFO] Phase: PRE-PREPARE | Receiver: 30114 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4662s | Size: 16782240 bit
[2025-03-20 12:37:53,611] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30114 | Distance:   61.46 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:37:53,913] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:53,920] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30114 | Distance:  102.65 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:37:55,790] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:56,005] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:56,103] [INFO] Phase: COMMIT | Receiver: 30114 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:37:56,193] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:56,298] [INFO] Phase: COMMIT | Receiver: 30114 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:56,343] [INFO] Phase: PRE-REPLY | Receiver: 30022 | Sender: 30114 | Distance:   47.73 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:37:56,549] [INFO] Phase: COMMIT | Receiver: 30114 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,516] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30118 | Distance:  147.03 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:57,555] [INFO] Phase: COMMIT | Receiver: 30114 | Sender: 30118 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:57,635] [INFO] Phase: COMMIT | Receiver: 30114 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:57,675] [INFO] Phase: COMMIT | Receiver: 30114 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:57,710] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:57,758] [INFO] Phase: COMMIT | Receiver: 30114 | Sender: 30045 | Distance:  130.31 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:57,799] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30020 | Distance:   34.07 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,955] [INFO] Phase: PREPARE | Receiver: 30114 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16779000 bit
