[2025-03-20 12:37:39,524] [INFO] Node started: localhost:30071 | index= 72 | f=1, k=4
[2025-03-20 12:38:01,647] [INFO] Phase: PRE-PREPARE | Receiver: 30071 | Sender: 30084 | Distance:   80.21 m | Delay: 0.4662s | Size: 16782032 bit
[2025-03-20 12:38:01,657] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30071 | Distance:   80.21 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:06,262] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30106 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:06,464] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30071 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:06,517] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30030 | Distance:   87.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:06,861] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30016 | Distance:  117.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:06,898] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30063 | Distance:  121.66 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:07,282] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30068 | Distance:   59.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:08,066] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30016 | Distance:  117.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:08,628] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30063 | Distance:  121.66 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:08,779] [INFO] Phase: PRE-REPLY | Receiver: 30049 | Sender: 30071 | Distance:  121.66 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:38:09,154] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30112 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:09,199] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30106 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:38:10,400] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30089 | Distance:  120.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:11,056] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30025 | Distance:  117.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:11,597] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30048 | Distance:   14.42 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:11,719] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30012 | Distance:  139.48 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:11,765] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30084 | Distance:   80.21 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:11,798] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30005 | Distance:  144.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:11,874] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30083 | Distance:   35.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:11,992] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30101 | Distance:  135.93 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:12,087] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30068 | Distance:   59.46 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:12,154] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30014 | Distance:   78.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,188] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30031 | Distance:   86.26 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,293] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30090 | Distance:   79.60 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,324] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30040 | Distance:  141.31 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:12,378] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30021 | Distance:   14.34 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:12,437] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30004 | Distance:   62.28 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:12,466] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30023 | Distance:  105.61 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:12,504] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30030 | Distance:   87.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:12,543] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30035 | Distance:  133.53 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:12,587] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30028 | Distance:  115.40 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:12,620] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30051 | Distance:   66.22 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,650] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30026 | Distance:  151.08 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:38:12,676] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30025 | Distance:  117.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:12,737] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30012 | Distance:  139.48 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:12,771] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30112 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:38:13,365] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30101 | Distance:  135.93 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:14,003] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30005 | Distance:  144.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:14,281] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30083 | Distance:   35.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:14,421] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30023 | Distance:  105.61 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:14,459] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30004 | Distance:   62.28 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:14,490] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30014 | Distance:   78.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,516] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30028 | Distance:  115.40 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:14,544] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30089 | Distance:  120.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:14,913] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30031 | Distance:   86.26 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,977] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30048 | Distance:   14.42 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:15,322] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30090 | Distance:   79.60 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,649] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30040 | Distance:  141.31 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:16,876] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30035 | Distance:  133.53 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,401] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30026 | Distance:  151.08 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:38:17,852] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30021 | Distance:   14.34 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:18,235] [INFO] Phase: COMMIT | Receiver: 30071 | Sender: 30051 | Distance:   66.22 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:26,677] [INFO] Phase: PRE-PREPARE | Receiver: 30071 | Sender: 30084 | Distance:   80.21 m | Delay: 0.4662s | Size: 16782024 bit
[2025-03-20 12:38:26,683] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30071 | Distance:   80.21 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:33,574] [INFO] Phase: PREPARE | Receiver: 30071 | Sender: 30030 | Distance:   87.81 m | Delay: 0.4661s | Size: 16778976 bit
