[2025-03-20 12:37:44,756] [INFO] Node started: localhost:30097 | index= 98 | f=1, k=4
[2025-03-20 12:38:06,344] [INFO] Phase: PRE-PREPARE | Receiver: 30097 | Sender: 30002 | Distance:   72.60 m | Delay: 0.4662s | Size: 16782304 bit
[2025-03-20 12:38:06,551] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30097 | Distance:   72.60 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:12,917] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30046 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:12,930] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30097 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:13,610] [INFO] Phase: COMMIT | Receiver: 30097 | Sender: 30002 | Distance:   72.60 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,062] [INFO] Phase: COMMIT | Receiver: 30097 | Sender: 30046 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:14,192] [INFO] Phase: PRE-REPLY | Receiver: 30056 | Sender: 30097 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:38:14,755] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30108 | Distance:   76.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:16,835] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30105 | Distance:   74.63 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:16,860] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30072 | Distance:   42.03 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:38:16,890] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30011 | Distance:  158.60 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:38:16,913] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30053 | Distance:   29.36 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:16,938] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30017 | Distance:   80.26 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,540] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30065 | Distance:   71.02 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,009] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30096 | Distance:  128.69 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,719] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30109 | Distance:   76.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,489] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30098 | Distance:  110.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,674] [INFO] Phase: PREPARE | Receiver: 30097 | Sender: 30041 | Distance:  143.79 m | Delay: 0.6991s | Size: 16778992 bit
