[2025-03-20 12:12:43,135] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:43,360] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,572] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:43,618] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,689] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:44,242] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,281] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778976 bit
[2025-03-20 12:12:44,334] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,347] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30005 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:44,415] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:12:44,455] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:44,533] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:44,569] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:44,606] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:19:38,082] [INFO] Node started: localhost:30005 | index=  6 | f=1, k=4
[2025-03-20 12:20:49,860] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:20:49,860] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778152 bit
[2025-03-20 12:20:49,995] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:50,003] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:20:50,246] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:50,411] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:50,465] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:20:50,513] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:20:50,701] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778976 bit
[2025-03-20 12:20:50,925] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:50,942] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30005 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:20:51,028] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:51,062] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:20:51,173] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:51,211] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:51,252] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:20:51,318] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:57,758] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:20:57,765] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:20:57,904] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:57,911] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:20:58,104] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:58,338] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:58,363] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:58,406] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:20:58,697] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:58,843] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:20:58,928] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:20:58,939] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30005 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:20:59,015] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:59,097] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:59,164] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778976 bit
[2025-03-20 12:20:59,209] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:59,254] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:21:05,758] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:21:05,768] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:21:05,878] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:21:05,882] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778144 bit
[2025-03-20 12:21:06,173] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,310] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,349] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:21:06,475] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:21:06,848] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,883] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:21:06,946] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:21:06,962] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30005 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:21:07,050] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:21:07,090] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,186] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,230] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,278] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:26,302] [INFO] Node started: localhost:30005 | index=  6 | f=1, k=4
[2025-03-20 12:38:02,563] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30084 | Distance:   80.21 m | Delay: 0.4662s | Size: 16782032 bit
[2025-03-20 12:38:02,656] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:   80.21 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:09,812] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30071 | Distance:  124.99 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:09,827] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  124.99 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:38:09,863] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30030 | Distance:   87.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:09,901] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30016 | Distance:  117.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:09,940] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30106 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:09,968] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30068 | Distance:   59.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,005] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30063 | Distance:  121.66 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,473] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30089 | Distance:  120.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,505] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:  117.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:10,544] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30071 | Distance:  124.99 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,576] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30016 | Distance:  117.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,594] [INFO] Phase: PRE-REPLY | Receiver: 30049 | Sender: 30005 | Distance:  117.64 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:10,703] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30112 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:10,754] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30106 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:38:10,782] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30084 | Distance:   80.21 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,823] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30012 | Distance:  139.48 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:10,851] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30063 | Distance:  121.66 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:11,003] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30083 | Distance:   35.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:11,533] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30048 | Distance:   14.42 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:11,739] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30101 | Distance:  135.93 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:13,596] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30031 | Distance:   86.26 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:14,740] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30014 | Distance:   78.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:15,287] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30068 | Distance:   59.46 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:16,103] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30090 | Distance:   79.60 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:16,463] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30040 | Distance:  141.31 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:16,751] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30051 | Distance:   66.22 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,151] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30004 | Distance:   62.28 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:17,292] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30021 | Distance:   14.34 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:17,683] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30025 | Distance:  117.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:18,263] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30023 | Distance:  105.61 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,312] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30026 | Distance:  151.08 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:38:18,346] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30028 | Distance:  115.40 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:18,391] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30035 | Distance:  133.53 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,457] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30030 | Distance:   87.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:18,512] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30112 | Distance:  108.07 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:38:18,544] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30012 | Distance:  139.48 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,618] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30101 | Distance:  135.93 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:18,648] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30083 | Distance:   35.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:18,678] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30048 | Distance:   14.42 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:18,715] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30089 | Distance:  120.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,753] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30031 | Distance:   86.26 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,839] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30004 | Distance:   62.28 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:18,871] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30028 | Distance:  115.40 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:18,919] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30090 | Distance:   79.60 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,974] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30014 | Distance:   78.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,010] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30040 | Distance:  141.31 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,042] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30023 | Distance:  105.61 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,083] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30051 | Distance:   66.22 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:19,115] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30035 | Distance:  133.53 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,154] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30021 | Distance:   14.34 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:19,203] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30026 | Distance:  151.08 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:38:26,755] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30084 | Distance:   80.21 m | Delay: 0.4662s | Size: 16782024 bit
[2025-03-20 12:38:26,767] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:   80.21 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:27,810] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30026 | Distance:  151.08 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:38:27,822] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  151.08 m | Delay: 0.9322s | Size: 16778160 bit
[2025-03-20 12:38:27,845] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:  117.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:27,869] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30028 | Distance:  115.40 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:27,895] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30068 | Distance:   59.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:34,363] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30014 | Distance:   78.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:34,394] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30023 | Distance:  105.61 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:34,477] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30030 | Distance:   87.81 m | Delay: 0.4661s | Size: 16778976 bit
