[2025-03-20 12:20:58,590] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:20:59,390] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:20:59,423] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30004 | Distance:  105.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:59,435] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30020 | Distance:  105.84 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:21:05,423] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30020 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781080 bit
[2025-03-20 12:21:05,423] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30020 | Distance:    0.00 m | Delay: N/A | Size: 16779912 bit
[2025-03-20 12:21:06,479] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30004 | Distance:  105.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,513] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:21:06,524] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:21:07,354] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30038 | Distance:   58.30 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:21:07,377] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30004 | Distance:  105.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,387] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30020 | Distance:  105.84 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:37:29,293] [INFO] Node started: localhost:30020 | index= 21 | f=1, k=4
[2025-03-20 12:37:53,339] [INFO] Phase: PRE-PREPARE | Receiver: 30020 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4662s | Size: 16782240 bit
[2025-03-20 12:37:53,343] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   61.46 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:37:54,125] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30094 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:54,134] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:37:54,164] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30093 | Distance:   43.40 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:54,990] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30009 | Distance:   49.61 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:55,046] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30054 | Distance:   45.15 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:56,616] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:56,912] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,109] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:57,157] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30093 | Distance:   43.40 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:57,208] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,251] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,263] [INFO] Phase: PRE-REPLY | Receiver: 30022 | Sender: 30020 | Distance:   47.73 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:37:57,326] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,364] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778984 bit
