[2025-03-20 12:38:16,787] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:16,835] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:16,863] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:16,932] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:16,960] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:16,990] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:17,033] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,076] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:17,104] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,135] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:17,712] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,184] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:18,244] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:18,300] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:18,363] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:18,832] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:19,099] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:19,809] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:19,917] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:20,837] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:21,072] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:21,272] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:27,292] [INFO] Phase: PRE-PREPARE | Receiver: 30067 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782176 bit
[2025-03-20 12:38:27,454] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30067 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:38:34,905] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:34,916] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30067 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:38:35,295] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:35,319] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:35,345] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:35,375] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:35,402] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,430] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:35,461] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,475] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30067 | Distance:  122.13 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:35,525] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:35,553] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,577] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,603] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:35,625] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:35,650] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:35,674] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,702] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:35,733] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:35,757] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:35,779] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:35,803] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,828] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,850] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:35,872] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:35,896] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,919] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:35,941] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:35,967] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:35,996] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:36,042] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:36,075] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:39,662] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,231] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:40,263] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,306] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:40,376] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:40,415] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:40,465] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:40,496] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:40,532] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,560] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,583] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:40,609] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:40,635] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:40,667] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,698] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,741] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,783] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:40,812] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:40,889] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778976 bit
[2025-03-20 12:38:40,923] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:40,956] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:41,597] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:42,981] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:43,481] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:44,612] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:52,226] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:52,228] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:52,622] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:52,623] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:53,192] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:53,192] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:54,178] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:54,178] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:54,822] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:54,822] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:55,140] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:55,140] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:55,796] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:55,796] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:56,363] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:56,363] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:56,780] [INFO] Phase: PRE-PREPARE | Receiver: 30067 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782176 bit
[2025-03-20 12:38:56,792] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30067 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:57,303] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:57,317] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30067 | Distance:  148.71 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:57,801] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:39:00,819] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:00,857] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:03,109] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:05,640] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:06,369] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:06,512] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778968 bit
[2025-03-20 12:39:07,463] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:39:07,475] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30067 | Distance:  124.20 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:39:07,576] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:07,619] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:07,682] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:07,842] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:08,026] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:08,362] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:39:08,394] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:08,429] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:08,471] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:08,512] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:08,546] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:39:08,576] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:08,608] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:39:08,639] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:39:08,744] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:08,776] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:08,807] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:39:08,845] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:08,877] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:39:08,912] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:08,950] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:08,988] [INFO] Phase: PREPARE | Receiver: 30067 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:09,021] [INFO] Phase: COMMIT | Receiver: 30067 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
