[2025-03-20 12:37:45,148] [INFO] Node started: localhost:30099 | index=100 | f=1, k=4
[2025-03-20 12:37:53,602] [INFO] Phase: PRE-PREPARE | Receiver: 30099 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4662s | Size: 16782240 bit
[2025-03-20 12:37:53,610] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30099 | Distance:   61.46 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:37:54,009] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30009 | Distance:   49.61 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:54,028] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30099 | Distance:   49.61 m | Delay: 0.3107s | Size: 16778152 bit
[2025-03-20 12:37:57,192] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,457] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30054 | Distance:   45.15 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:57,495] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,544] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:57,572] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30020 | Distance:   34.07 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,606] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30094 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:57,633] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30093 | Distance:   43.40 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:57,898] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:37:57,936] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,969] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:57,983] [INFO] Phase: PRE-REPLY | Receiver: 30022 | Sender: 30099 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:37:58,046] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:58,160] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30009 | Distance:   49.61 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:37:58,196] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30114 | Distance:  147.03 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:58,226] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30118 | Distance:  147.03 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:58,267] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:58,299] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:58,332] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30020 | Distance:   34.07 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:58,370] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30001 | Distance:   52.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:58,413] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30114 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,449] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30118 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,487] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30001 | Distance:   52.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:58,603] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,641] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:58,686] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,765] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30111 | Distance:   33.82 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:58,803] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30094 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:58,870] [INFO] Phase: COMMIT | Receiver: 30099 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,911] [INFO] Phase: PREPARE | Receiver: 30099 | Sender: 30047 | Distance:  104.81 m | Delay: 0.6991s | Size: 16778992 bit
