[2025-03-20 12:06:11,377] [INFO] Random node started: localhost:30028 | index= 29 | f=1, k=4
[2025-03-20 12:06:19,041] [INFO] Phase: PRE-PREPARE | Receiver: 30028 | Sender: 30038 | Distance:  201.17 m | Delay: 1.3984s | Size: 16781208 bit
[2025-03-20 12:06:19,051] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30028 | Distance:  201.17 m | Delay: 1.3984s | Size: 16778320 bit
[2025-03-20 12:06:19,441] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:19,451] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16778312 bit
[2025-03-20 12:06:19,490] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30000 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,934] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30013 | Distance:  147.93 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,976] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30025 | Distance:  113.17 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,057] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,130] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30029 | Distance:  146.04 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:20,240] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30006 | Distance:  132.81 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,315] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30000 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:20,351] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30038 | Distance:  201.17 m | Delay: 1.3983s | Size: 16779152 bit
[2025-03-20 12:06:20,366] [INFO] Phase: PRE-REPLY | Receiver: 30009 | Sender: 30028 | Distance:  201.17 m | Delay: 1.3983s | Size: 16778312 bit
[2025-03-20 12:06:20,448] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,549] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30013 | Distance:  147.93 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,628] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30025 | Distance:  113.17 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,666] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30006 | Distance:  132.81 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,714] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30029 | Distance:  146.04 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,737] [INFO] Phase: COMMIT | Receiver: 30028 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,078] [INFO] Phase: PRE-PREPARE | Receiver: 30028 | Sender: 30038 | Distance:  201.17 m | Delay: 1.3984s | Size: 16781208 bit
[2025-03-20 12:06:24,089] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30028 | Distance:  201.17 m | Delay: 1.3984s | Size: 16778320 bit
[2025-03-20 12:06:24,604] [INFO] Phase: PREPARE | Receiver: 30028 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
