[2025-03-20 12:06:11,977] [INFO] Random node started: localhost:30031 | index= 32 | f=1, k=4
[2025-03-20 12:06:25,646] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30025 | Distance:  124.72 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:29,045] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30038 | Distance:  120.62 m | Delay: 0.6992s | Size: 16781216 bit
[2025-03-20 12:06:29,057] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  120.62 m | Delay: 0.6992s | Size: 16778320 bit
[2025-03-20 12:06:29,508] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:29,524] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:29,560] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30001 | Distance:   66.65 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,595] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30029 | Distance:   40.64 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:29,633] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30025 | Distance:  124.72 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,668] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30006 | Distance:   63.05 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:29,700] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30013 | Distance:   96.71 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,092] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30000 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,254] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30001 | Distance:   66.65 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,290] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30025 | Distance:  124.72 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:30,305] [INFO] Phase: PRE-REPLY | Receiver: 30009 | Sender: 30031 | Distance:  124.72 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:30,388] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:30,422] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30006 | Distance:   63.05 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,462] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30038 | Distance:  120.62 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:30,585] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30000 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,607] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30029 | Distance:   40.64 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:30,630] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30013 | Distance:   96.71 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:16:46,698] [INFO] Node started: localhost:30031 | index= 32 | f=1, k=4
[2025-03-20 12:16:53,418] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6992s | Size: 16781088 bit
[2025-03-20 12:16:53,422] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  105.19 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:16:53,706] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:53,708] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  144.40 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:16:53,751] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:53,945] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:16:53,952] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30018 | Distance:  145.12 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:16:54,164] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30037 | Distance:  167.97 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:54,175] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,209] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:54,230] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,234] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30031 | Distance:  144.40 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:16:54,250] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:16:54,389] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30004 | Distance:  164.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:54,454] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30037 | Distance:  167.97 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:54,470] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30018 | Distance:  145.12 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:16:54,473] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:16:54,473] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,658] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30004 | Distance:  164.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:16:59,051] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6992s | Size: 16781088 bit
