[2025-03-20 12:39:45,674] [INFO] Node started: localhost:30060 | index= 61 | f=1, k=4
[2025-03-20 12:40:28,504] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:28,529] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:28,585] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:28,626] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:28,658] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:28,689] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:28,705] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:28,733] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:28,744] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:28,753] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:28,779] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:28,785] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:28,800] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:28,820] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:28,832] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:28,847] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:28,863] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:28,863] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:28,883] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:28,895] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:28,911] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:28,927] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:35,366] [INFO] Phase: PRE-PREPARE | Receiver: 30060 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782160 bit
[2025-03-20 12:40:35,470] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30060 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:40:41,109] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,144] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778984 bit
[2025-03-20 12:40:41,158] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30060 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778160 bit
[2025-03-20 12:40:41,190] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:41,221] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,237] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30060 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:41,299] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:41,330] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:41,368] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,402] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:41,453] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:41,577] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
