[2025-03-20 12:39:49,094] [INFO] Node started: localhost:30077 | index= 78 | f=1, k=4
[2025-03-20 12:40:22,849] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30061 | Distance:   82.49 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:22,903] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30019 | Distance:  141.42 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:22,934] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30021 | Distance:   50.45 m | Delay: 0.0000s | Size: 16779000 bit
[2025-03-20 12:40:22,968] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30070 | Distance:   50.45 m | Delay: 0.0000s | Size: 16779000 bit
[2025-03-20 12:40:23,021] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30088 | Distance:   90.71 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:23,093] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30031 | Distance:  102.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:23,457] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30062 | Distance:  138.72 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:23,691] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30113 | Distance:  127.46 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:24,112] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30026 | Distance:  134.72 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:24,516] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30015 | Distance:  107.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:25,359] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30083 | Distance:   59.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,567] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30008 | Distance:  112.30 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:25,879] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30109 | Distance:  115.50 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:25,929] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30102 | Distance:  106.33 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:25,970] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30102 | Distance:  106.33 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:26,012] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30061 | Distance:   82.49 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:26,079] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30021 | Distance:   50.45 m | Delay: 0.0000s | Size: 16779000 bit
[2025-03-20 12:40:26,115] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30036 | Distance:  101.06 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:26,415] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30046 | Distance:   94.10 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:26,640] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30085 | Distance:  175.01 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:26,857] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30058 | Distance:   78.92 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:27,253] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30019 | Distance:  141.42 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:34,993] [INFO] Phase: PRE-PREPARE | Receiver: 30077 | Sender: 30066 | Distance:  128.33 m | Delay: 0.6993s | Size: 16782184 bit
[2025-03-20 12:40:35,033] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30077 | Distance:  128.33 m | Delay: 0.6993s | Size: 16778160 bit
[2025-03-20 12:40:42,010] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30087 | Distance:  139.49 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:42,024] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30077 | Distance:  139.49 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:42,438] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30111 | Distance:  134.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:42,459] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30088 | Distance:   90.71 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,482] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30055 | Distance:   57.40 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:42,508] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30031 | Distance:  102.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:42,912] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30036 | Distance:  101.06 m | Delay: 0.6991s | Size: 16778992 bit
