[2025-03-20 12:06:11,777] [INFO] Random node started: localhost:30030 | index= 31 | f=1, k=4
[2025-03-20 12:06:20,497] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30011 | Distance:  104.63 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,060] [INFO] Phase: PRE-PREPARE | Receiver: 30030 | Sender: 30015 | Distance:   80.33 m | Delay: 0.4661s | Size: 16781240 bit
[2025-03-20 12:06:24,068] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:24,370] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30037 | Distance:  125.32 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,400] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:  125.32 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:24,871] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30011 | Distance:  104.63 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,080] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30021 | Distance:   88.22 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,107] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30004 | Distance:  151.69 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,134] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30039 | Distance:  159.09 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,164] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,191] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30026 | Distance:   85.80 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,229] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30011 | Distance:  104.63 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,298] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30015 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,314] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:25,455] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30021 | Distance:   88.22 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,480] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30004 | Distance:  151.69 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,508] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30037 | Distance:  125.32 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,536] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,587] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30026 | Distance:   85.80 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,619] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30039 | Distance:  159.09 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:29,026] [INFO] Phase: PRE-PREPARE | Receiver: 30030 | Sender: 30015 | Distance:   80.33 m | Delay: 0.4661s | Size: 16781240 bit
[2025-03-20 12:06:29,034] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:29,283] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30037 | Distance:  125.32 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:29,295] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:  125.32 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:29,540] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,621] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30011 | Distance:  104.63 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,748] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30026 | Distance:   85.80 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:29,779] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30039 | Distance:  159.09 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:29,817] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30021 | Distance:   88.22 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,841] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30004 | Distance:  151.69 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:29,884] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30037 | Distance:  125.32 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,921] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,933] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:30,003] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30011 | Distance:  104.63 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:30,074] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30015 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,125] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30039 | Distance:  159.09 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:30,155] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30026 | Distance:   85.80 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,209] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30004 | Distance:  151.69 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:30,517] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30021 | Distance:   88.22 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:16:46,498] [INFO] Node started: localhost:30030 | index= 31 | f=1, k=4
[2025-03-20 12:16:58,127] [INFO] Phase: PRE-PREPARE | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16781080 bit
[2025-03-20 12:16:58,129] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:16:58,653] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:58,655] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778144 bit
[2025-03-20 12:16:58,701] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:58,708] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30023 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:16:58,724] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:16:58,909] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:58,932] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:58,958] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30002 | Distance:   79.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:58,960] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:16:58,994] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:58,994] [INFO] Phase: PRE-REPLY | Receiver: 30038 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:16:59,035] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30023 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,045] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,227] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:16:59,267] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,292] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,729] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30002 | Distance:   79.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:06,951] [INFO] Phase: PRE-PREPARE | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16781080 bit
[2025-03-20 12:17:06,955] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:07,454] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,454] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:07,470] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30023 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,502] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,534] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:07,695] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:07,736] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,754] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30002 | Distance:   79.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,770] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:07,822] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30023 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,830] [INFO] Phase: PRE-REPLY | Receiver: 30038 | Sender: 30030 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:07,872] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,894] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:08,064] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:08,084] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:08,124] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:08,546] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30002 | Distance:   79.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:15,770] [INFO] Phase: PRE-PREPARE | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16781080 bit
[2025-03-20 12:17:15,773] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:17:16,279] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:16,290] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:17:16,344] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30023 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:16,359] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:16,368] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:16,509] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:16,527] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:16,546] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:17:16,594] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30002 | Distance:   79.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:16,644] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:16,650] [INFO] Phase: PRE-REPLY | Receiver: 30038 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:17:16,674] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30023 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:16,674] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:16,851] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:16,869] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:16,958] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778984 bit
