[2025-03-20 12:39:54,312] [INFO] Node started: localhost:30103 | index=104 | f=1, k=4
[2025-03-20 12:40:09,951] [INFO] Phase: PRE-PREPARE | Receiver: 30103 | Sender: 30076 | Distance:  120.12 m | Delay: 0.6993s | Size: 16782200 bit
[2025-03-20 12:40:09,955] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30103 | Distance:  120.12 m | Delay: 0.6993s | Size: 16778160 bit
[2025-03-20 12:40:16,240] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:16,252] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30103 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:16,762] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:16,918] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,135] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,254] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:17,285] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:17,999] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:18,030] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:18,303] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:20,149] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,657] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30089 | Distance:   83.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,696] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30076 | Distance:  120.12 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:20,709] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30103 | Distance:  120.12 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:20,786] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:20,859] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,026] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:21,058] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:21,094] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:21,124] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,157] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:21,196] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:21,236] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,285] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:21,323] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,369] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,408] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,444] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,506] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,559] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:21,592] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,625] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,657] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:21,688] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:21,722] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:21,758] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:21,790] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:21,826] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:21,860] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:21,894] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:21,935] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:21,978] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:22,020] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:40:22,052] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:22,491] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:22,753] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:40:22,889] [INFO] Phase: PREPARE | Receiver: 30103 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,149] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:23,449] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,591] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:24,811] [INFO] Phase: COMMIT | Receiver: 30103 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
