[2025-03-20 12:40:22,262] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:22,302] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:22,389] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:22,424] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:22,467] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:23,116] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:23,419] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:23,861] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:23,931] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:23,978] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:24,033] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:24,093] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:24,330] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:24,960] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,175] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,608] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:25,836] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:26,053] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:26,377] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:26,431] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:27,028] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:27,215] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:27,374] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:34,156] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30119 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16782520 bit
[2025-03-20 12:40:34,156] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30119 | Distance:    0.00 m | Delay: N/A | Size: 16781328 bit
