[2025-03-20 12:06:09,359] [INFO] Random node started: localhost:30018 | index= 19 | f=1, k=4
[2025-03-20 12:06:19,055] [INFO] Phase: PRE-PREPARE | Receiver: 30018 | Sender: 30012 | Distance:  185.43 m | Delay: 0.9323s | Size: 16781224 bit
[2025-03-20 12:06:19,068] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:  185.43 m | Delay: 0.9323s | Size: 16778320 bit
[2025-03-20 12:06:19,663] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30019 | Distance:   84.66 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,683] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:   84.66 m | Delay: 0.4661s | Size: 16778312 bit
[2025-03-20 12:06:19,731] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30032 | Distance:  152.55 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:19,776] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30033 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:19,826] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30008 | Distance:  141.01 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,400] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30034 | Distance:  148.19 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:20,479] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30003 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,520] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30017 | Distance:   70.31 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:20,747] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30019 | Distance:   84.66 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,769] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30034 | Distance:  148.19 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,774] [INFO] Phase: PRE-REPLY | Receiver: 30023 | Sender: 30018 | Distance:  148.19 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:20,806] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30012 | Distance:  185.43 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:20,817] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30008 | Distance:  141.01 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,829] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30033 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:20,841] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30032 | Distance:  152.55 m | Delay: 0.9322s | Size: 16779144 bit
[2025-03-20 12:06:20,850] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30003 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,852] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30017 | Distance:   70.31 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,078] [INFO] Phase: PRE-PREPARE | Receiver: 30018 | Sender: 30012 | Distance:  185.43 m | Delay: 0.9323s | Size: 16781224 bit
[2025-03-20 12:06:24,091] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:  185.43 m | Delay: 0.9323s | Size: 16778320 bit
[2025-03-20 12:06:24,610] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30019 | Distance:   84.66 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,628] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:   84.66 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:24,662] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30034 | Distance:  148.19 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:24,697] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30008 | Distance:  141.01 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,729] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30033 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:24,760] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30003 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779160 bit
[2025-03-20 12:06:24,796] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30032 | Distance:  152.55 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:24,830] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30017 | Distance:   70.31 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,391] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30012 | Distance:  185.43 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,425] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30003 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779160 bit
[2025-03-20 12:06:25,439] [INFO] Phase: PRE-REPLY | Receiver: 30023 | Sender: 30018 | Distance:   62.20 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:25,520] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30017 | Distance:   70.31 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,557] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30019 | Distance:   84.66 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,591] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30032 | Distance:  152.55 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,625] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30033 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:25,660] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30008 | Distance:  141.01 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,680] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30034 | Distance:  148.19 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:29,053] [INFO] Phase: PRE-PREPARE | Receiver: 30018 | Sender: 30012 | Distance:  185.43 m | Delay: 0.9323s | Size: 16781224 bit
[2025-03-20 12:06:29,061] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:  185.43 m | Delay: 0.9323s | Size: 16778312 bit
[2025-03-20 12:06:29,474] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30019 | Distance:   84.66 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,490] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:   84.66 m | Delay: 0.4661s | Size: 16778312 bit
[2025-03-20 12:06:29,514] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30017 | Distance:   70.31 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,547] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30032 | Distance:  152.55 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:29,571] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30003 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779160 bit
[2025-03-20 12:06:29,597] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30008 | Distance:  141.01 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,629] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30034 | Distance:  148.19 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,898] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30033 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:29,950] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30003 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,070] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30017 | Distance:   70.31 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,086] [INFO] Phase: PRE-REPLY | Receiver: 30023 | Sender: 30018 | Distance:   70.31 m | Delay: 0.4661s | Size: 16778312 bit
[2025-03-20 12:06:30,147] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30034 | Distance:  148.19 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:30,173] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30008 | Distance:  141.01 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:30,246] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30019 | Distance:   84.66 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,278] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30032 | Distance:  152.55 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:30,323] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30012 | Distance:  185.43 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:30,474] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30033 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:16:44,096] [INFO] Node started: localhost:30018 | index= 19 | f=1, k=4
[2025-03-20 12:16:53,186] [INFO] Phase: PRE-PREPARE | Receiver: 30018 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6992s | Size: 16781088 bit
[2025-03-20 12:16:53,189] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:  105.19 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:16:53,706] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:53,710] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:  144.40 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:16:53,754] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:53,937] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:16:54,155] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,166] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,224] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:54,233] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:16:54,236] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30018 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778152 bit
[2025-03-20 12:16:54,254] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,263] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,385] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30037 | Distance:  167.97 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:54,393] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30004 | Distance:  164.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:54,457] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:16:54,463] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:54,642] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30004 | Distance:  164.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:16:54,669] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30037 | Distance:  167.97 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:58,791] [INFO] Phase: PRE-PREPARE | Receiver: 30018 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6992s | Size: 16781088 bit
[2025-03-20 12:16:58,795] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:  105.19 m | Delay: 0.6992s | Size: 16778152 bit
[2025-03-20 12:16:59,373] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:16:59,385] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:16:59,411] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,626] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:16:59,809] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,843] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,883] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,992] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:16:59,999] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30018 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778160 bit
[2025-03-20 12:17:00,036] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:00,051] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:00,075] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30004 | Distance:  164.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:00,083] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30037 | Distance:  167.97 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:00,093] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:00,115] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:00,326] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30037 | Distance:  167.97 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:00,348] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30004 | Distance:  164.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:07,602] [INFO] Phase: PRE-PREPARE | Receiver: 30018 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6992s | Size: 16781088 bit
[2025-03-20 12:17:07,604] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:  105.19 m | Delay: 0.6992s | Size: 16778152 bit
[2025-03-20 12:17:08,159] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:08,168] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30018 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:08,284] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:08,430] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:17:08,658] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30031 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:08,684] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30028 | Distance:  125.08 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:08,822] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30026 | Distance:   71.21 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:08,841] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30001 | Distance:  144.40 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:08,841] [INFO] Phase: PRE-REPLY | Receiver: 30012 | Sender: 30018 | Distance:  144.40 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:17:08,870] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30003 | Distance:  159.41 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:17:08,886] [INFO] Phase: COMMIT | Receiver: 30018 | Sender: 30017 | Distance:  105.19 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:08,901] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30037 | Distance:  167.97 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:08,901] [INFO] Phase: PREPARE | Receiver: 30018 | Sender: 30004 | Distance:  164.87 m | Delay: 0.9322s | Size: 16779000 bit
