[2025-03-20 12:39:50,511] [INFO] Node started: localhost:30084 | index= 85 | f=1, k=4
[2025-03-20 12:40:12,242] [INFO] Phase: PRE-PREPARE | Receiver: 30084 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:40:12,250] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30084 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:40:18,529] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:18,539] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30084 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:18,566] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:18,676] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:18,701] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:18,725] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,171] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,194] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:19,220] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:19,246] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:19,256] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30084 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:19,304] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:19,364] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,830] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:24,495] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:24,541] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:24,599] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:24,627] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:24,670] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:24,797] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:24,866] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:24,914] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:24,999] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:25,023] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:25,061] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:25,086] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:25,112] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,140] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:25,173] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:25,201] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,229] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,258] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:25,296] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,334] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:25,363] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:25,418] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:25,446] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:25,480] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:25,503] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:25,555] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:25,578] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:25,604] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,632] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,658] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:25,727] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:25,753] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:26,010] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:26,360] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:26,597] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:26,722] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:26,956] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:27,565] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:27,659] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:27,718] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:27,904] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:27,995] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:28,031] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:35,375] [INFO] Phase: PRE-PREPARE | Receiver: 30084 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782160 bit
[2025-03-20 12:40:35,484] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30084 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:40:37,370] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:37,408] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:37,422] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30084 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:37,459] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:38,012] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:38,056] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:38,109] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:38,736] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:38,776] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:40,577] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,443] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:41,474] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:41,510] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:41,544] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:41,984] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:42,067] [INFO] Phase: COMMIT | Receiver: 30084 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:42,081] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30084 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:42,469] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,663] [INFO] Phase: PREPARE | Receiver: 30084 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
