[2025-03-20 12:39:49,496] [INFO] Node started: localhost:30079 | index= 80 | f=1, k=4
[2025-03-20 12:40:12,252] [INFO] Phase: PRE-PREPARE | Receiver: 30079 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:40:12,386] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30079 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:40:19,630] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:19,641] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30079 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:19,669] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:19,712] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,747] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:19,787] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,853] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:21,027] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:21,191] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30079 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778144 bit
[2025-03-20 12:40:21,777] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:22,050] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:22,203] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:22,633] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:22,678] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:22,714] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:22,745] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:22,777] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:22,810] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,432] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,686] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:23,970] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:24,247] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:25,061] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:25,274] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:25,323] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,515] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:25,561] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:25,614] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,656] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:25,725] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,761] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:25,794] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:25,847] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:25,897] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:25,931] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:25,970] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:26,055] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:26,093] [INFO] Phase: PREPARE | Receiver: 30079 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:26,132] [INFO] Phase: COMMIT | Receiver: 30079 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
