[2025-03-20 12:06:05,770] [INFO] Random node started: localhost:30000 | index=  1 | f=1, k=4
[2025-03-20 12:06:25,672] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30025 | Distance:   89.56 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,053] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30038 | Distance:   90.20 m | Delay: 0.4661s | Size: 16781208 bit
[2025-03-20 12:06:29,063] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:   90.20 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:29,712] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30006 | Distance:   24.57 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:29,724] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:   24.57 m | Delay: 0.3107s | Size: 16778320 bit
[2025-03-20 12:06:29,775] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30029 | Distance:   76.51 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:29,815] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30031 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,872] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30028 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,906] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30013 | Distance:  139.92 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:29,961] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30001 | Distance:  116.31 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:30,004] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30025 | Distance:   89.56 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:30,577] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30028 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:30,601] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30006 | Distance:   24.57 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:30,613] [INFO] Phase: PRE-REPLY | Receiver: 30009 | Sender: 30000 | Distance:   24.57 m | Delay: 0.3107s | Size: 16778312 bit
[2025-03-20 12:06:30,660] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30025 | Distance:   89.56 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,670] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30038 | Distance:   90.20 m | Delay: 0.4661s | Size: 16779144 bit
