[2025-03-20 12:40:19,590] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:19,634] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30103 | Distance:   31.62 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:19,666] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:19,704] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:19,734] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:19,788] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:19,830] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,925] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,957] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:19,998] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:20,048] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:20,114] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:20,139] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:20,183] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:40:20,210] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:40:20,235] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:20,261] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:20,303] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,323] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:21,663] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:21,727] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:22,454] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30089 | Distance:   83.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:23,968] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:33,887] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30076 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16782536 bit
[2025-03-20 12:40:33,902] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30076 | Distance:    0.00 m | Delay: N/A | Size: 16781368 bit
[2025-03-20 12:40:34,758] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:35,117] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:35,284] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30076 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:46,151] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:46,227] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:46,261] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:46,292] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:40:46,306] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30076 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:40:46,366] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:46,401] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:40:46,433] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:46,463] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30089 | Distance:   83.72 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:46,496] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:46,530] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:46,817] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:46,853] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30017 | Distance:   65.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:46,889] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:46,919] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:46,982] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:47,035] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,064] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:47,104] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:47,135] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,167] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,202] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:47,234] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,274] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,303] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:47,559] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30002 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:47,772] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30103 | Distance:   31.62 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:47,883] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:48,403] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30103 | Distance:   31.62 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:40:48,618] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:48,774] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:49,042] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:49,342] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30089 | Distance:   83.72 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:49,547] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:49,578] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
