[2025-03-20 12:39:51,716] [INFO] Node started: localhost:30090 | index= 91 | f=1, k=4
[2025-03-20 12:40:02,971] [INFO] Phase: PRE-PREPARE | Receiver: 30090 | Sender: 30110 | Distance:   52.58 m | Delay: 0.4662s | Size: 16782208 bit
[2025-03-20 12:40:02,971] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30090 | Distance:   52.58 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:40:03,228] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30064 | Distance:   56.96 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:03,242] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30090 | Distance:   56.96 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:05,268] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30063 | Distance:   94.45 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:05,313] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30009 | Distance:  128.30 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:05,465] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30006 | Distance:   58.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:05,502] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30005 | Distance:  105.80 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:05,528] [INFO] Phase: COMMIT | Receiver: 30090 | Sender: 30025 | Distance:  117.52 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:05,555] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30025 | Distance:  117.52 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:05,582] [INFO] Phase: COMMIT | Receiver: 30090 | Sender: 30064 | Distance:   56.96 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:05,594] [INFO] Phase: PRE-REPLY | Receiver: 30016 | Sender: 30090 | Distance:   56.96 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:05,722] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30071 | Distance:   89.00 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:05,802] [INFO] Phase: COMMIT | Receiver: 30090 | Sender: 30071 | Distance:   89.00 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:05,850] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30065 | Distance:  198.01 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:05,909] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30045 | Distance:   96.61 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:05,946] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30040 | Distance:  103.67 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:05,972] [INFO] Phase: PREPARE | Receiver: 30090 | Sender: 30053 | Distance:  192.99 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:06,043] [INFO] Phase: COMMIT | Receiver: 30090 | Sender: 30006 | Distance:   58.81 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:06,071] [INFO] Phase: COMMIT | Receiver: 30090 | Sender: 30040 | Distance:  103.67 m | Delay: 0.6991s | Size: 16778992 bit
