[2025-03-20 12:06:07,746] [INFO] Random node started: localhost:30010 | index= 11 | f=1, k=4
[2025-03-20 12:06:18,315] [INFO] Phase: PRE-PREPARE | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6992s | Size: 16781240 bit
[2025-03-20 12:06:18,316] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:  116.24 m | Delay: 0.6992s | Size: 16778312 bit
[2025-03-20 12:06:18,467] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,467] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:18,488] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:18,501] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:18,514] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30039 | Distance:  124.88 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:18,615] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30021 | Distance:   78.36 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,652] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,683] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30004 | Distance:  144.14 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:18,720] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:18,727] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:18,731] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30010 | Distance:   45.93 m | Delay: 0.3107s | Size: 16778320 bit
[2025-03-20 12:06:18,749] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30039 | Distance:  124.88 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:18,750] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,750] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,770] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,784] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30004 | Distance:  144.14 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,790] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30021 | Distance:   78.36 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,994] [INFO] Phase: PRE-PREPARE | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6992s | Size: 16781240 bit
[2025-03-20 12:06:19,001] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:  116.24 m | Delay: 0.6992s | Size: 16778320 bit
[2025-03-20 12:06:19,483] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,499] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:19,531] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,568] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30021 | Distance:   78.36 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,594] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30004 | Distance:  144.14 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,620] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:19,649] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:19,673] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30039 | Distance:  124.88 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,122] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,146] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:20,156] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:20,229] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,253] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30021 | Distance:   78.36 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,281] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30039 | Distance:  124.88 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,309] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30004 | Distance:  144.14 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,336] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:20,395] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,076] [INFO] Phase: PRE-PREPARE | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6992s | Size: 16781240 bit
[2025-03-20 12:06:24,087] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:  116.24 m | Delay: 0.6992s | Size: 16778320 bit
[2025-03-20 12:06:24,599] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,614] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:24,646] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30021 | Distance:   78.36 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,680] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:24,709] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30039 | Distance:  124.88 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,741] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30004 | Distance:  144.14 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:24,773] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,804] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,273] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,312] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,330] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30010 | Distance:   80.30 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:25,411] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,449] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30021 | Distance:   78.36 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,496] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30004 | Distance:  144.14 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,562] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,617] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30039 | Distance:  124.88 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,648] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:29,034] [INFO] Phase: PRE-PREPARE | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6992s | Size: 16781240 bit
[2025-03-20 12:06:29,043] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:  116.24 m | Delay: 0.6992s | Size: 16778320 bit
[2025-03-20 12:06:29,322] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,334] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30010 | Distance:   75.88 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:29,359] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:29,385] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:29,742] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:29,767] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30039 | Distance:  124.88 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,849] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30021 | Distance:   78.36 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,874] [INFO] Phase: PREPARE | Receiver: 30010 | Sender: 30004 | Distance:  144.14 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:29,915] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30030 | Distance:   75.88 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,946] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30037 | Distance:  147.97 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:29,959] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30010 | Distance:  147.97 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:30,024] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30011 | Distance:   80.30 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,104] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30015 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:30,163] [INFO] Phase: COMMIT | Receiver: 30010 | Sender: 30026 | Distance:   45.93 m | Delay: 0.3107s | Size: 16779160 bit
