[2025-03-20 12:41:53,332] [INFO] [Node_ 93] Starting node at localhost:30092 | index= 93 | f=1, k=4
[2025-03-20 12:42:02,274] [INFO] [Node_ 93] Received PRE-PREPARE: id:1742442121036, from:30000, delay:0.6991s, distance:0136.12m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:44,075] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30037, delay:0.6991s, distance:0118.61m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,216] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30096, delay:0.6991s, distance:0119.14m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,356] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30048, delay:0.9322s, distance:0184.64m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,441] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30009, delay:0.6991s, distance:0128.30m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,463] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30114, delay:0.6991s, distance:0140.32m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:44,483] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30117, delay:0.4661s, distance:0065.71m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,503] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30115, delay:0.4661s, distance:0056.26m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,522] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30109, delay:0.9322s, distance:0167.95m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,538] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30093, delay:0.6991s, distance:0111.12m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,556] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30113, delay:0.4661s, distance:0080.58m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,576] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30066, delay:0.0000s, distance:0150.96m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,593] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30119, delay:0.3107s, distance:0008.84m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,611] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30033, delay:1.3982s, distance:0201.75m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,625] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30002, delay:0.6991s, distance:0128.24m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,640] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30004, delay:0.9322s, distance:0169.73m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:44,658] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30057, delay:0.4661s, distance:0053.69m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:44,678] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30105, delay:0.6991s, distance:0129.56m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,696] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30070, delay:0.9322s, distance:0176.90m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,714] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30045, delay:0.4661s, distance:0096.61m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,730] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30106, delay:0.6991s, distance:0105.32m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:44,745] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30060, delay:0.6991s, distance:0126.36m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,765] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30075, delay:0.9322s, distance:0182.31m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,785] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30100, delay:0.4661s, distance:0092.35m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,801] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30058, delay:0.6991s, distance:0134.69m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:44,818] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30050, delay:0.9322s, distance:0185.94m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,834] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30019, delay:0.6991s, distance:0126.58m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,882] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30023, delay:0.6991s, distance:0144.77m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,907] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30083, delay:0.9322s, distance:0157.65m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:44,929] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30079, delay:0.9322s, distance:0191.92m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,951] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30010, delay:0.4661s, distance:0083.63m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,971] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30020, delay:0.6991s, distance:0104.86m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:44,993] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30022, delay:0.6991s, distance:0136.08m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:45,012] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30081, delay:0.9322s, distance:0165.50m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,034] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30084, delay:0.6991s, distance:0123.33m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,056] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30021, delay:0.9322s, distance:0182.68m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:45,072] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30041, delay:1.3982s, distance:0224.39m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,092] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30086, delay:0.3107s, distance:0012.30m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,112] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30080, delay:0.6991s, distance:0137.61m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:45,133] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30018, delay:0.9322s, distance:0157.23m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,151] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30039, delay:0.6991s, distance:0115.49m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:45,165] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30030, delay:0.0000s, distance:0100.43m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,179] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30085, delay:0.4661s, distance:0052.68m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:45,201] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30011, delay:0.6991s, distance:0141.30m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,219] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30091, delay:0.6991s, distance:0141.38m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:45,236] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30082, delay:0.4661s, distance:0073.40m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:45,254] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30007, delay:0.6991s, distance:0139.49m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:51,477] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30024, delay:0.4661s, distance:0079.20m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:51,517] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30087, delay:0.4661s, distance:0085.89m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:51,569] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30042, delay:0.6991s, distance:0112.61m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:51,590] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30104, delay:0.6991s, distance:0121.39m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:51,605] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30068, delay:0.6991s, distance:0125.86m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:51,922] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30095, delay:0.0000s, distance:0050.20m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:51,939] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30031, delay:0.6991s, distance:0139.00m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:51,961] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30108, delay:0.9322s, distance:0164.49m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:51,980] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30027, delay:0.6991s, distance:0134.73m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:52,000] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30006, delay:0.4661s, distance:0058.81m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,018] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30043, delay:0.6991s, distance:0144.04m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:54,748] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30088, delay:0.6991s, distance:0114.18m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:54,781] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30077, delay:0.6991s, distance:0148.82m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,801] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30099, delay:0.9322s, distance:0159.38m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,823] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30072, delay:0.9322s, distance:0184.96m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:58,869] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30076, delay:0.6991s, distance:0122.82m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:58,887] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30090, delay:0.6991s, distance:0133.86m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:58,936] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30015, delay:0.4661s, distance:0092.06m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:00,493] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30040, delay:0.6991s, distance:0103.67m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:00,515] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30008, delay:0.6991s, distance:0122.77m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:00,541] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30014, delay:0.6991s, distance:0135.03m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:02,794] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30018, delay:0.9322s, distance:0157.23m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:02,834] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30022, delay:0.6991s, distance:0136.08m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:03,647] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30084, delay:0.6991s, distance:0123.33m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:03,662] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30083, delay:0.9322s, distance:0157.65m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:03,695] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30007, delay:0.6991s, distance:0139.49m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:43:03,713] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30081, delay:0.9322s, distance:0165.50m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:03,721] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30020, delay:0.6991s, distance:0104.86m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:03,739] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30048, delay:0.9322s, distance:0184.64m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:03,759] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30096, delay:0.6991s, distance:0119.14m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:43:03,974] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30010, delay:0.4661s, distance:0083.63m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:03,974] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30079, delay:0.9322s, distance:0191.92m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,007] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30085, delay:0.4661s, distance:0052.68m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,561] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30117, delay:0.4661s, distance:0065.71m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,575] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30080, delay:0.6991s, distance:0137.61m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,593] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30037, delay:0.6991s, distance:0118.61m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:04,608] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30038, delay:0.9322s, distance:0195.53m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,626] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30051, delay:0.9322s, distance:0165.50m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:04,652] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30011, delay:0.6991s, distance:0141.30m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:04,674] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30109, delay:0.9322s, distance:0167.95m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:04,685] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30115, delay:0.4661s, distance:0056.26m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,699] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30033, delay:1.3982s, distance:0201.75m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,717] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30113, delay:0.4661s, distance:0080.58m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:04,731] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30021, delay:0.9322s, distance:0182.68m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,745] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30093, delay:0.6991s, distance:0111.12m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:04,756] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30114, delay:0.6991s, distance:0140.32m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:43:05,358] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30002, delay:0.6991s, distance:0128.24m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:05,370] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30110, delay:0.4661s, distance:0052.58m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:05,397] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30009, delay:0.6991s, distance:0128.30m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:05,408] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30030, delay:0.0000s, distance:0100.43m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:05,411] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30091, delay:0.6991s, distance:0141.38m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:43:06,136] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30107, delay:0.4661s, distance:0090.03m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:43:06,150] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30023, delay:0.6991s, distance:0144.77m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,174] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30086, delay:0.3107s, distance:0012.30m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,189] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30025, delay:0.6991s, distance:0117.52m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,205] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30067, delay:0.6991s, distance:0139.25m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,223] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30039, delay:0.6991s, distance:0115.49m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,246] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30082, delay:0.4661s, distance:0073.40m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,259] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30102, delay:0.9322s, distance:0169.08m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,273] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30041, delay:1.3982s, distance:0224.39m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:43:06,386] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30047, delay:0.9322s, distance:0166.79m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,397] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30105, delay:0.6991s, distance:0129.56m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,409] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30057, delay:0.4661s, distance:0053.69m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,417] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30003, delay:0.9322s, distance:0180.63m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:43:06,431] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30063, delay:0.4661s, distance:0094.45m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,442] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30001, delay:0.9322s, distance:0156.04m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,617] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30064, delay:0.4661s, distance:0056.96m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,637] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30017, delay:0.0000s, distance:0200.30m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,651] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30049, delay:0.9322s, distance:0192.69m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,662] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30036, delay:0.9322s, distance:0164.53m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,691] [INFO] [Node_ 93] Received COMMIT: id:1742442121036, from:30119, delay:0.3107s, distance:0008.84m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,710] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30055, delay:0.9322s, distance:0181.02m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,734] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30069, delay:0.4661s, distance:0070.92m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:06,748] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30054, delay:0.6991s, distance:0105.33m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:06,759] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30118, delay:0.6991s, distance:0119.98m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:07,630] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30035, delay:0.4661s, distance:0090.44m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:07,630] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30032, delay:0.6991s, distance:0110.28m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:07,651] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30089, delay:0.6991s, distance:0137.17m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:07,670] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30094, delay:0.6991s, distance:0115.69m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:07,679] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30034, delay:0.9322s, distance:0164.20m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:07,705] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30046, delay:0.6991s, distance:0135.19m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:07,721] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30073, delay:0.9322s, distance:0173.42m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:07,998] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30026, delay:0.6991s, distance:0113.56m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:08,013] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30116, delay:0.6991s, distance:0144.03m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:08,023] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30053, delay:0.9322s, distance:0192.99m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:43:08,039] [INFO] [Node_ 93] Received PREPARE: id:1742442121036, from:30059, delay:0.6991s, distance:0104.09m (Euclidean), mes_siz_bit:16778856
