[2025-03-20 12:41:49,729] [INFO] [Node_ 75] Starting node at localhost:30074 | index= 75 | f=1, k=4
[2025-03-20 12:42:52,315] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30004, delay:0.6991s, distance:0111.35m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,333] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30060, delay:0.4661s, distance:0056.94m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:52,346] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30058, delay:0.6991s, distance:0123.91m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:52,360] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30045, delay:0.4661s, distance:0079.05m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,367] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30105, delay:0.6991s, distance:0131.15m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:52,387] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30075, delay:0.6991s, distance:0149.05m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:52,403] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30100, delay:0.4661s, distance:0075.45m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,421] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30070, delay:0.6991s, distance:0118.17m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:52,438] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30106, delay:0.4661s, distance:0093.20m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:52,455] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30019, delay:0.6991s, distance:0113.33m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,468] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30042, delay:0.4661s, distance:0059.38m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,480] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30050, delay:0.6991s, distance:0144.23m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:52,493] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30104, delay:0.4661s, distance:0070.87m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,507] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30068, delay:0.4661s, distance:0060.22m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:52,519] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30027, delay:0.4661s, distance:0084.95m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,537] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30099, delay:0.4661s, distance:0070.87m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,551] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30108, delay:0.6991s, distance:0107.86m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:52,568] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30024, delay:0.3107s, distance:0017.75m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,583] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30095, delay:0.4661s, distance:0077.38m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,914] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30087, delay:0.3107s, distance:0032.00m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:52,933] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30116, delay:0.4661s, distance:0057.34m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:53,288] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30031, delay:0.4661s, distance:0073.88m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:53,310] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30072, delay:0.6991s, distance:0127.15m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:53,327] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30043, delay:0.6991s, distance:0104.79m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:53,358] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30112, delay:0.6991s, distance:0105.98m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:53,384] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30006, delay:0.4661s, distance:0081.93m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:53,672] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30077, delay:0.4661s, distance:0058.99m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,541] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30088, delay:0.3107s, distance:0048.79m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,559] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30051, delay:0.6991s, distance:0108.76m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,597] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30107, delay:0.4661s, distance:0061.31m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,724] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30008, delay:0.4661s, distance:0094.53m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,744] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30014, delay:0.4661s, distance:0093.14m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,912] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30076, delay:0.3107s, distance:0044.08m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:54,944] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30015, delay:0.3107s, distance:0013.82m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,972] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30090, delay:0.4661s, distance:0076.49m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:54,992] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30047, delay:0.4661s, distance:0077.77m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,000] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30110, delay:0.6991s, distance:0112.23m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,018] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30040, delay:0.6991s, distance:0115.88m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,018] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30067, delay:0.4661s, distance:0098.88m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:55,036] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30025, delay:0.4661s, distance:0099.09m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,659] [INFO] [Node_ 75] Received PREPARE: id:1742442121036, from:30102, delay:0.9322s, distance:0165.33m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,702] [INFO] [Node_ 75] Received COMMIT: id:1742442121036, from:30010, delay:0.6991s, distance:0112.58m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,715] [INFO] [Node_ 75] Received COMMIT: id:1742442121036, from:30022, delay:0.4661s, distance:0054.18m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,748] [INFO] [Node_ 75] Received COMMIT: id:1742442121036, from:30084, delay:0.4661s, distance:0085.78m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,766] [INFO] [Node_ 75] Received COMMIT: id:1742442121036, from:30018, delay:0.4661s, distance:0083.55m (Euclidean), mes_siz_bit:16778856
