[2025-03-20 12:41:54,552] [INFO] [Node_ 99] Starting node at localhost:30098 | index= 99 | f=1, k=4
[2025-03-20 12:42:02,381] [INFO] [Node_ 99] Received PRE-PREPARE: id:1742442121036, from:30000, delay:0.9322s, distance:0174.02m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,465] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30091, delay:0.9322s, distance:0190.62m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:55,484] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30002, delay:0.4661s, distance:0064.19m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,522] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30037, delay:0.6991s, distance:0127.34m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,538] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30096, delay:0.4661s, distance:0052.22m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,550] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30048, delay:0.9322s, distance:0162.53m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,564] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30114, delay:0.6991s, distance:0145.37m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,578] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30117, delay:0.6991s, distance:0128.42m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,590] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30009, delay:0.9322s, distance:0153.88m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,600] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30115, delay:0.6991s, distance:0125.86m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,608] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30109, delay:0.6991s, distance:0110.64m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,618] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30093, delay:0.6991s, distance:0137.61m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,632] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30113, delay:0.6991s, distance:0134.22m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,651] [INFO] [Node_ 99] Received PREPARE: id:1742442121036, from:30066, delay:0.9322s, distance:0186.63m (Euclidean), mes_siz_bit:16778856
