[2025-03-24 11:40:07,311] [INFO] [Node_ 14] Starting node at localhost:30013 | index= 14 | f=1, k=4
[2025-03-24 11:47:32,523] [INFO] [Node_ 14] Starting node at localhost:30013 | index= 14 | f=1, k=4
[2025-03-24 11:47:35,944] [INFO] [Node_ 14] Received PRE-PREPARE: id:1742784455847, from:30000, delay:0.1554s, distance:0023.37m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,057] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30006, delay:0.1554s, distance:0009.41m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,061] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30005, delay:0.1554s, distance:0007.02m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,293] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30016, delay:0.1554s, distance:0011.04m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,300] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30017, delay:0.1554s, distance:0004.44m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,312] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30015, delay:0.1554s, distance:0009.00m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,344] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30009, delay:0.1554s, distance:0021.70m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,349] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30010, delay:0.1554s, distance:0013.32m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,356] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30007, delay:0.1554s, distance:0001.92m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,362] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30003, delay:0.1554s, distance:0011.68m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,364] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30012, delay:0.1554s, distance:0013.85m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,369] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30018, delay:0.1554s, distance:0019.15m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,379] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30019, delay:0.1554s, distance:0016.76m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,385] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30004, delay:0.1554s, distance:0013.08m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:36,389] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30001, delay:0.1554s, distance:0009.53m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:36,393] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30008, delay:0.1554s, distance:0010.33m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,397] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30002, delay:0.1554s, distance:0008.96m (Euclidean), mes_siz_bit:8390248
[2025-03-24 11:47:36,403] [INFO] [Node_ 14] Received PREPARE: id:1742784455847, from:30014, delay:0.1554s, distance:0016.60m (Euclidean), mes_siz_bit:8390240
