[2025-03-20 12:41:49,927] [INFO] [Node_ 76] Starting node at localhost:30075 | index= 76 | f=1, k=4
[2025-03-20 12:42:02,266] [INFO] [Node_ 76] Received PRE-PREPARE: id:1742442121036, from:30000, delay:0.9322s, distance:0151.26m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:18,562] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30011, delay:0.4661s, distance:0066.83m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:18,582] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30030, delay:0.6991s, distance:0102.18m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:18,621] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30002, delay:0.4661s, distance:0089.50m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:18,723] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30007, delay:0.9322s, distance:0155.71m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:18,846] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30091, delay:1.3982s, distance:0204.41m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:18,870] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30082, delay:0.9322s, distance:0179.99m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:18,898] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30037, delay:0.6991s, distance:0104.09m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:18,919] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30020, delay:0.6991s, distance:0143.53m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:18,937] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30010, delay:0.6991s, distance:0120.59m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:18,955] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30048, delay:0.6991s, distance:0102.76m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:18,976] [INFO] [Node_ 76] Received PREPARE: id:1742442121036, from:30009, delay:0.9322s, distance:0155.30m (Euclidean), mes_siz_bit:16778848
