[2025-03-20 12:41:57,151] [INFO] [Node_112] Starting node at localhost:30111 | index=112 | f=1, k=4
[2025-03-20 12:42:02,040] [INFO] [Node_112] Received PRE-PREPARE: id:1742442121036, from:30000, delay:0.6991s, distance:0113.64m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:56,464] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30080, delay:0.0000s, distance:0100.88m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:56,478] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30018, delay:0.6991s, distance:0138.91m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:56,516] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30041, delay:0.9322s, distance:0162.09m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:56,959] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30086, delay:0.6991s, distance:0142.99m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:56,981] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30011, delay:0.9322s, distance:0191.04m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:56,995] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30085, delay:0.6991s, distance:0112.45m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:57,009] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30039, delay:0.4661s, distance:0083.07m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:57,021] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30082, delay:0.4661s, distance:0099.74m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:57,036] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30002, delay:0.6991s, distance:0107.52m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:57,048] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30091, delay:0.4661s, distance:0073.11m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:57,060] [INFO] [Node_112] Received PREPARE: id:1742442121036, from:30030, delay:0.4661s, distance:0097.81m (Euclidean), mes_siz_bit:16778848
