[2025-03-20 12:41:57,961] [INFO] [Node_116] Starting node at localhost:30115 | index=116 | f=1, k=4
[2025-03-20 12:42:35,311] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30105, delay:0.6991s, distance:0128.57m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,323] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30076, delay:0.4661s, distance:0077.71m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,340] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30060, delay:0.4661s, distance:0078.21m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,360] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30045, delay:0.4661s, distance:0066.93m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,376] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30075, delay:0.9322s, distance:0155.21m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,392] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30106, delay:0.4661s, distance:0087.62m (Euclidean), mes_siz_bit:16778832
[2025-03-20 12:42:35,414] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30042, delay:0.4661s, distance:0064.85m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,428] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30050, delay:0.9322s, distance:0163.98m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,439] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30058, delay:0.6991s, distance:0119.88m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:35,452] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30070, delay:0.6991s, distance:0137.78m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,470] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30104, delay:0.4661s, distance:0075.11m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,487] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30087, delay:0.3107s, distance:0046.46m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,503] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30068, delay:0.4661s, distance:0083.16m (Euclidean), mes_siz_bit:16778848
