[2025-03-20 12:41:57,754] [INFO] [Node_115] Starting node at localhost:30114 | index=115 | f=1, k=4
[2025-03-20 12:42:02,057] [INFO] [Node_115] Received PRE-PREPARE: id:1742442121036, from:30000, delay:0.4661s, distance:0083.90m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:15,223] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30020, delay:0.6991s, distance:0126.25m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:15,241] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30084, delay:0.4661s, distance:0093.39m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:15,277] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30083, delay:0.6991s, distance:0103.70m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:15,373] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30080, delay:0.4661s, distance:0097.97m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:15,445] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30018, delay:0.3107s, distance:0047.17m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:15,506] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30079, delay:0.4661s, distance:0086.69m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:15,573] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30011, delay:0.6991s, distance:0101.19m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:15,633] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30085, delay:0.9322s, distance:0154.00m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:15,694] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30010, delay:0.4661s, distance:0089.85m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:15,799] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30081, delay:0.6991s, distance:0109.77m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:15,812] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30022, delay:0.4661s, distance:0063.35m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:15,826] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30023, delay:0.3107s, distance:0040.13m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:15,844] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30021, delay:0.6991s, distance:0108.63m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:18,618] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30039, delay:0.4661s, distance:0084.73m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:18,639] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30082, delay:0.6991s, distance:0125.73m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:18,660] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30002, delay:0.6991s, distance:0111.66m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:18,678] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30091, delay:0.9322s, distance:0154.03m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:18,696] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30041, delay:0.6991s, distance:0120.78m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:18,714] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30086, delay:0.6991s, distance:0130.58m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:24,921] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30115, delay:0.4661s, distance:0099.93m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:25,362] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30096, delay:0.9322s, distance:0188.66m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:25,554] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30007, delay:0.9322s, distance:0188.27m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:25,735] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30030, delay:0.4661s, distance:0086.81m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:25,964] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30009, delay:0.6991s, distance:0112.38m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:26,154] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30048, delay:0.4661s, distance:0091.89m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:26,516] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30037, delay:0.4661s, distance:0060.10m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:27,925] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30109, delay:0.9322s, distance:0174.01m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:28,271] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30117, delay:0.4661s, distance:0095.91m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:30,820] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30093, delay:0.6991s, distance:0107.24m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:31,101] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30113, delay:0.4661s, distance:0065.65m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,331] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30119, delay:0.6991s, distance:0138.63m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:31,418] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30033, delay:0.6991s, distance:0111.43m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:31,497] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30066, delay:0.6991s, distance:0117.87m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,681] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30060, delay:0.4661s, distance:0057.51m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:31,702] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30045, delay:0.3107s, distance:0046.15m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,724] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30075, delay:0.4661s, distance:0090.03m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:31,744] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30106, delay:0.4661s, distance:0085.01m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:31,764] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30042, delay:0.3107s, distance:0039.44m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,785] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30050, delay:0.9322s, distance:0188.70m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,825] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30070, delay:0.4661s, distance:0088.24m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,846] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30104, delay:0.3107s, distance:0035.97m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,874] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30105, delay:0.9322s, distance:0155.97m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,933] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30057, delay:0.0000s, distance:0100.11m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:31,951] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30004, delay:0.3107s, distance:0047.90m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:31,984] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30087, delay:0.6991s, distance:0125.97m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,002] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30040, delay:0.6991s, distance:0137.15m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,020] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30068, delay:0.4661s, distance:0085.14m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:32,044] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30100, delay:0.9322s, distance:0167.80m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,065] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30019, delay:0.4661s, distance:0055.51m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,087] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30088, delay:0.3107s, distance:0047.43m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,103] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30031, delay:0.6991s, distance:0136.55m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:32,123] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30058, delay:0.4661s, distance:0093.61m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:32,145] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30076, delay:0.6991s, distance:0130.46m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,320] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30115, delay:0.4661s, distance:0099.93m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,344] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30113, delay:0.4661s, distance:0065.65m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,383] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30014, delay:0.3107s, distance:0044.54m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,407] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30015, delay:0.4661s, distance:0090.13m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,431] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30117, delay:0.4661s, distance:0095.91m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:32,451] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30090, delay:0.6991s, distance:0125.78m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:32,475] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30077, delay:0.6991s, distance:0127.36m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,494] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30080, delay:0.4661s, distance:0097.97m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,514] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30008, delay:0.3107s, distance:0028.40m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:32,536] [INFO] [Node_115] Received PREPARE: id:1742442121036, from:30038, delay:0.6991s, distance:0149.10m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,552] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30022, delay:0.4661s, distance:0063.35m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,567] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30083, delay:0.6991s, distance:0103.70m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,583] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30018, delay:0.3107s, distance:0047.17m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,599] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30048, delay:0.4661s, distance:0091.89m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:32,619] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30096, delay:0.9322s, distance:0188.66m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:32,647] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30084, delay:0.4661s, distance:0093.39m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,668] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30037, delay:0.4661s, distance:0060.10m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:32,691] [INFO] [Node_115] Received COMMIT: id:1742442121036, from:30081, delay:0.6991s, distance:0109.77m (Euclidean), mes_siz_bit:16778856
