[2025-03-19 11:51:39,539] [INFO] PBFT Scenario: f=1, k=4 | Role: CLIENT
[2025-03-19 11:51:39,597] [INFO] Waiting for /start-protocol trigger (use curl to start consensus)...
[2025-03-19 11:51:47,657] [INFO] [][][][][][]============> /start-protocol request received: Starting consensus rounds
[2025-03-19 11:51:47,689] [INFO] Prewarm connections completed.
[2025-03-19 11:51:47,689] [INFO] Starting warm-up round to stabilize connections...
[2025-03-19 11:51:47,689] [INFO] [CLIENT] >> REQUEST 1742352707689 ¡æ Leader(30000) with dumped data size
[2025-03-19 11:53:54,460] [INFO] PBFT Scenario: f=1, k=4 | Role: CLIENT
[2025-03-19 11:53:54,460] [INFO] Waiting for /start-protocol trigger (use curl to start consensus)...
[2025-03-19 11:54:02,973] [INFO] [][][][][][]============> /start-protocol request received: Starting consensus rounds
[2025-03-19 11:54:02,990] [INFO] Prewarm connections completed.
[2025-03-19 11:54:02,990] [INFO] Starting warm-up round to stabilize connections...
[2025-03-19 11:54:02,990] [INFO] [CLIENT] >> REQUEST 1742352842990 ¡æ Leader(30000) with dumped data size
[2025-03-19 11:54:03,660] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4149885, 'sender': 30010, 'simulated_delay': 4.977777777777778e-05, 'distance': 157.14597147078004, 'message_size_bits': 896}
[2025-03-19 11:54:03,660] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4625354, 'sender': 30006, 'simulated_delay': 2.488888888888889e-05, 'distance': 68.17045161408834, 'message_size_bits': 896}
[2025-03-19 11:54:03,660] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4625354, 'sender': 30031, 'simulated_delay': 2.488888888888889e-05, 'distance': 88.28772317754829, 'message_size_bits': 896}
[2025-03-19 11:54:03,662] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4784074, 'sender': 30002, 'simulated_delay': 3.733333333333333e-05, 'distance': 115.35368012319826, 'message_size_bits': 896}
[2025-03-19 11:54:03,662] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4309282, 'sender': 30033, 'simulated_delay': 4.977777777777778e-05, 'distance': 198.6772325866304, 'message_size_bits': 896}
[2025-03-19 11:54:03,671] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.3695166, 'sender': 30034, 'simulated_delay': 4.977777777777778e-05, 'distance': 154.4872385095835, 'message_size_bits': 896}
[2025-03-19 11:54:03,674] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4309282, 'sender': 30020, 'simulated_delay': 4.977777777777778e-05, 'distance': 186.287534661587, 'message_size_bits': 896}
[2025-03-19 11:54:03,676] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4149885, 'sender': 30025, 'simulated_delay': 4.977777777777778e-05, 'distance': 164.48725306270055, 'message_size_bits': 896}
[2025-03-19 11:54:03,678] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.5435503, 'sender': 30003, 'simulated_delay': 4.977777777777778e-05, 'distance': 158.20217094546064, 'message_size_bits': 896}
[2025-03-19 11:54:03,678] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4149885, 'sender': 30007, 'simulated_delay': 4.977777777777778e-05, 'distance': 151.3869676609412, 'message_size_bits': 896}
[2025-03-19 11:54:03,680] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4625354, 'sender': 30037, 'simulated_delay': 3.733333333333333e-05, 'distance': 148.5953321076336, 'message_size_bits': 896}
[2025-03-19 11:54:03,680] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4309282, 'sender': 30008, 'simulated_delay': 3.733333333333333e-05, 'distance': 139.10400974523097, 'message_size_bits': 896}
[2025-03-19 11:54:03,688] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4149885, 'sender': 30015, 'simulated_delay': 7.466666666666666e-05, 'distance': 214.8224466842981, 'message_size_bits': 896}
[2025-03-19 11:54:03,689] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.494246, 'sender': 30001, 'simulated_delay': 3.7e-05, 'distance': 141.39637074774154, 'message_size_bits': 888}
[2025-03-19 11:54:03,694] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4309282, 'sender': 30014, 'simulated_delay': 4.977777777777778e-05, 'distance': 160.66510319099135, 'message_size_bits': 896}
[2025-03-19 11:54:03,696] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.4309282, 'sender': 30016, 'simulated_delay': 3.733333333333333e-05, 'distance': 146.67328030047037, 'message_size_bits': 896}
[2025-03-19 11:54:03,703] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.399151, 'sender': 30017, 'simulated_delay': 4.933333333333333e-05, 'distance': 182.8833881602916, 'message_size_bits': 888}
[2025-03-19 11:54:03,717] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.399151, 'sender': 30019, 'simulated_delay': 4.933333333333333e-05, 'distance': 189.8722175107955, 'message_size_bits': 888}
[2025-03-19 11:54:03,717] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.399151, 'sender': 30028, 'simulated_delay': 3.7e-05, 'distance': 147.25108556688028, 'message_size_bits': 888}
